,Filename,Header ImageBase,Header SectionAlignment,Section Name,Section Virtual Address,Imports dll,Imports funciones
0,K99_C3A9A7B026BFE0E55FF219FD6AA7D94,4194304,4096,.data,0x5000,WS2_32.dll,"['gethostbyname', 'inet_ntoa', 'WSAStartup', 'gethostname']"
1,JH78C0A33A1B472A8C16123FD696A5CE5EBB,4194304,4096,.rsrc,0x7000,WS2_32.dll,['closesocket']
2,TG78Z__727A6800991EEAD454E53E8AF164A99C,4194304,4096,UPX2,0xbe000,WS2_32.dll,['WSAGetLastError']
3,RTC_7F85D7F628CE62D1D8F7B39D8940472,4194304,4096,.rsrc,0x1f3000,WS2_32.dll,['inet_ntoa']
4,F8437E44748D2C3FCF84019766F4E6DC,4194304,4096,.rsrc,0x7000,WS2_32.dll,['closesocket']
5,BVJ2D9FBF759F527AF373E34673DC3ACA462,4194304,4096,.rsrc,0x7000,WS2_32.dll,['closesocket']
6,L11_1415EB8519D13328091CC5C76A624E3D,4194304,4096,.rsrc,0x1f3000,WS2_32.dll,['inet_ntoa']
7,FTTR9EA3C16194CE354C244C1B74C46CD92E,4194304,4096,.rsrc,0x7000,WS2_32.dll,['send']
8,PL98_BD8B082B7711BC980252F988BB0CA936,268435456,4096,UPX2,0xc5000,WS2_32.dll,['WSAGetLastError']
9,B07322743778B5868475DBE66EEDAC4F,4194304,4096,.rsrc,0x7000,WS2_32.dll,['send']
10,QW2_4C6BDDCCA2695D6202DF38708E14FC7E,268435456,4096,.rsrc,0xa8000,WS2_32.dll,['WSASetLastError']
11,99A39866A657A10949FCB6D634BB30D5,4194304,4096,.rsrc,0x7000,WS2_32.dll,['closesocket']
12,B98hX8E8622C393D7E832D39E620EAD5D3B49,4194304,4096,UPX2,0x97000,WS2_32.dll,['send']
13,1F2EB7B090018D975E6D9B40868C94CA,4194304,4096,.rsrc,0x7000,WS2_32.dll,['send']
14,KLp90_6D5C8FC4B14559F73B6136D85B94198,4194304,4096,.data,0x5000,WS2_32.dll,"['gethostbyname', 'inet_ntoa', 'WSAStartup', 'gethostname']"
15,8442AE37B91F279A9F06DE4C60B286A3,4194304,4096,.rsrc,0x7000,WS2_32.dll,['send']
16,NV99_C9C9DBF388A8D81D8CFB4D3FC05F8E4,4194304,4096,.data,0x5000,WS2_32.dll,"['gethostbyname', 'inet_ntoa', 'WSAStartup', 'gethostname']"
17,FGTR43_EF8E0FB20E7228C7492CCDC59D87C690,268435456,4096,.rsrc,0xa8000,WS2_32.dll,['WSASetLastError']
18,NBV_8B75BCBFF174C25A0161F30758509A44,4194304,4096,.rsrc,0x7000,WS2_32.dll,['closesocket']
19,33DE5067A433A6EC5C328067DC18EC37,4194304,4096,.rsrc,0x7000,WS2_32.dll,['closesocket']
20,650A6FCA433EE243391E4B4C11F09438,4194304,4096,.rsrc,0x7000,WS2_32.dll,['closesocket']
21,6FAA4740F99408D4D2DDDD0B09BBDEFD,4194304,4096,.rsrc,0x7000,WS2_32.dll,['closesocket']
22,AAAz2E1B6940985A23E5639450F8391820655,268435456,4096,UPX2,0xc5000,WS2_32.dll,['WSAGetLastError']
23,EEE99EC8AA67B05407C01094184C33D2B5A44,4194304,4096,.rsrc,0x7000,WS2_32.dll,['send']
24,GFT4_7DDD3D72EAD03C7518F5D47650C8572,4194304,4096,.rsrc,0x3d8000,WS2_32.dll,"['gethostbyname', 'inet_ntoa', 'WSAStartup', 'gethostname']"
25,F6655E39465C2FF5B016980D918EA028,4194304,4096,.rsrc,0x7000,WS2_32.dll,['send']
26,FHHH6576C196385407B0F7F4B1B537D88983,4194304,4096,.rsrc,0x7000,WS2_32.dll,['closesocket']
27,POL55_A4F1ECC4D25B33395196B5D51A06790,4194304,4096,.data,0x5000,WS2_32.dll,"['gethostbyname', 'inet_ntoa', 'WSAStartup', 'gethostname']"
28,JKK8CA6FE7A1315AF5AFEAC2961460A80569,4194304,4096,.rsrc,0x7000,WS2_32.dll,['closesocket']
29,DS22_A670D13D4D014169C4080328B8FEB86,4194304,4096,.data,0x5000,WS2_32.dll,"['gethostbyname', 'inet_ntoa', 'WSAStartup', 'gethostname']"
30,SAM_B659D71AE168E774FAAF38DB30F4A84,4194304,4096,.data,0x5000,WS2_32.dll,"['gethostbyname', 'inet_ntoa', 'WSAStartup', 'gethostname']"
31,VBMM9_149B7BD7218AAB4E257D28469FDDB0D,4194304,4096,.rsrc,0x1f3000,WS2_32.dll,['inet_ntoa']
32,VC990_468FF2C12CFFC7E5B2FE0EE6BB3B239E,4194304,4096,UPX2,0xbe000,WS2_32.dll,['WSAGetLastError']
33,FGJKJJ1_2BA0D0083976A5C1E3315413CDCFFCD2,4194304,4096,.rsrc,0x7000,WS2_32.dll,['closesocket']
34,65018CD542145A3792BA09985734C12A,4194304,4096,.rsrc,0x7000,WS2_32.dll,['closesocket']
35,A316D5AECA269CA865077E7FFF356E7D,4194304,4096,.rsrc,0x7000,WS2_32.dll,['closesocket']
36,HJGQDD892986B2249B5214639ECC8AC0223,4194304,4096,.rsrc,0x7000,WS2_32.dll,['closesocket']
37,785003A405BC7A4EBCBB21DDB757BF3F,4194304,4096,.rsrc,0x7000,WS2_32.dll,['closesocket']
38,GBV66_8F259BB36E00D124963CFA9B86F502E,4194304,4096,.data,0x5000,WS2_32.dll,"['gethostbyname', 'inet_ntoa', 'WSAStartup', 'gethostname']"
39,AL65_DB05DF0498B59B42A8E493CF3C10C578,268435456,4096,UPX2,0xc5000,WS2_32.dll,['WSAGetLastError']
